author,quote,tag_name
George R.R. Martin,"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.",reading
George R.R. Martin,"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.",reading-books
C.S. Lewis,You can never get a cup of tea large enough or a book long enough to suit me.,books
C.S. Lewis,You can never get a cup of tea large enough or a book long enough to suit me.,inspirational
C.S. Lewis,You can never get a cup of tea large enough or a book long enough to suit me.,reading
C.S. Lewis,You can never get a cup of tea large enough or a book long enough to suit me.,tea
Marilyn Monroe,You believe lies so you eventually learn to trust no one but yourself.,
Marilyn Monroe,"If you can make a woman laugh, you can make her do anything.",girls
Marilyn Monroe,"If you can make a woman laugh, you can make her do anything.",love
Albert Einstein,"Life is like riding a bicycle. To keep your balance, you must keep moving.",life
Albert Einstein,"Life is like riding a bicycle. To keep your balance, you must keep moving.",simile
Marilyn Monroe,The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.,love
Marilyn Monroe,"A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.",attributed-no-source
Martin Luther King Jr.,Only in the darkness can you see the stars.,hope
Martin Luther King Jr.,Only in the darkness can you see the stars.,inspirational
J.K. Rowling,"It matters not what someone is born, but what they grow to be.",dumbledore
James Baldwin,"Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.",love
Jane Austen,"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.",friendship
Jane Austen,"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.",love
Eleanor Roosevelt,Do one thing every day that scares you.,attributed
Eleanor Roosevelt,Do one thing every day that scares you.,fear
Eleanor Roosevelt,Do one thing every day that scares you.,inspiration
Marilyn Monroe,"I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.",attributed-no-source
Albert Einstein,"If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.",music
Haruki Murakami,"If you only read the books that everyone else is reading, you can only think what everyone else is thinking.",books
Haruki Murakami,"If you only read the books that everyone else is reading, you can only think what everyone else is thinking.",thought
Alexandre Dumas Fils,The difference between genius and stupidity is: genius has its limits.,misattributed-to-einstein
Stephenie Meyer,"He's like a drug for you, Bella.",drug
Stephenie Meyer,"He's like a drug for you, Bella.",romance
Stephenie Meyer,"He's like a drug for you, Bella.",simile
Ernest Hemingway,There is no friend as loyal as a book.,books
Ernest Hemingway,There is no friend as loyal as a book.,friends
Ernest Hemingway,There is no friend as loyal as a book.,novelist-quotes
Helen Keller,"When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.",inspirational
George Bernard Shaw,Life isn't about finding yourself. Life is about creating yourself.,inspirational
George Bernard Shaw,Life isn't about finding yourself. Life is about creating yourself.,life
George Bernard Shaw,Life isn't about finding yourself. Life is about creating yourself.,yourself
Charles Bukowski,"That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.",alcohol
Suzanne Collins,You don’t forget the face of the person who was your last hope.,the-hunger-games
Suzanne Collins,"Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.",humor
C.S. Lewis,"To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.",love
J.R.R. Tolkien,Not all those who wander are lost.,bilbo
J.R.R. Tolkien,Not all those who wander are lost.,journey
J.R.R. Tolkien,Not all those who wander are lost.,lost
J.R.R. Tolkien,Not all those who wander are lost.,quest
J.R.R. Tolkien,Not all those who wander are lost.,travel
J.R.R. Tolkien,Not all those who wander are lost.,wander
J.K. Rowling,"Do not pity the dead, Harry. Pity the living, and, above all those who live without love.",live-death-love
Ernest Hemingway,There is nothing to writing. All you do is sit down at a typewriter and bleed.,good
Ernest Hemingway,There is nothing to writing. All you do is sit down at a typewriter and bleed.,writing
Ralph Waldo Emerson,Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.,life
Ralph Waldo Emerson,Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.,regrets
Mark Twain,I have never let my schooling interfere with my education.,education
Dr. Seuss,I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!,troubles
Alfred Tennyson,If I had a flower for every time I thought of you...I could walk through my garden forever.,friendship
Alfred Tennyson,If I had a flower for every time I thought of you...I could walk through my garden forever.,love
Charles Bukowski,Some people never go crazy. What truly horrible lives they must lead.,humor
Terry Pratchett,"The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.",humor
Terry Pratchett,"The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.",open-mind
Terry Pratchett,"The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.",thinking
Dr. Seuss,"Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!",humor
